show_id,zone,house_type,area_sqft,bedrooms,bathrooms,building_age,road_width_m,distance_to_center_km,has_garden,has_parking,furnished,date_listed,year_listed,price_npr,price_per_sqft,nearest_landmark,description
H00364,Itahari-2,Bungalow,1206,4,3,11,9.3,0.24,0,1,Unfurnished,2021-07-30,2021,36201611,30017,Bhairahawa Road,Bungalow located near main road with easy access to amenities and schools.
H00365,Itahari-18,Bungalow,1131,4,3,12,6.2,5.53,0,1,Furnished,2015-02-09,2015,12454889,11012,Sukrabare,"Well-connected property in Itahari-18, 1131 sqft, 12 years old. Ideal for families."
H00366,Itahari-2,RCC,1224,4,3,14,12.4,4.03,0,0,Unfurnished,2021-12-27,2021,27687292,22620,Bhairahawa Road,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00367,Itahari-13,RCC,752,3,3,22,8.7,4.69,1,1,Unfurnished,2021-12-11,2021,12100998,16091,G.P. Chowk,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00368,Itahari-1,Flat,1538,5,4,11,9.4,1.41,0,0,Unfurnished,2013-11-13,2013,15298582,9947,Bhairahawa Road,"Well-connected property in Itahari-1, 1538 sqft, 11 years old. Ideal for families."
H00369,Itahari-2,RCC,1011,4,2,3,3.1,3.26,0,0,Furnished,2020-01-26,2020,21326514,21094,Shohini Chowk,"Spacious RCC with 4 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00370,Itahari-15,Bungalow,1770,3,3,13,9.7,4.26,0,1,Unfurnished,2010-11-28,2010,11232916,6346,Bhairahawa Road,"Spacious Bungalow with 3 bedrooms and 3 bathrooms, nearby Bhairahawa Road."
H00371,Itahari-8,RCC,1550,5,5,5,3.7,4.08,0,1,Semi-Furnished,2023-11-22,2023,34641337,22349,Sukrabare,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00372,Itahari-18,Flat,1553,3,2,20,7.0,4.98,1,1,Unfurnished,2025-03-22,2025,17596596,11330,Itahari Buspark,Flat located near main road with easy access to amenities and schools.
H00373,Itahari-8,Flat,1339,2,2,4,8.0,6.41,0,0,Unfurnished,2012-05-08,2012,14109341,10537,Itahari Buspark,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00374,Itahari-7,Flat,2690,8,5,26,7.0,4.25,0,1,Unfurnished,2016-09-17,2016,13924922,5176,Shohini Chowk,"Spacious Flat with 8 bedrooms and 5 bathrooms, nearby Shohini Chowk."
H00375,Itahari-6,Flat,995,1,1,21,8.1,5.08,0,1,Semi-Furnished,2020-05-10,2020,8028478,8068,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00376,Itahari-10,Flat,450,1,1,12,10.3,3.1,0,1,Semi-Furnished,2016-12-30,2016,6120114,13600,G.P. Chowk,"Well-connected property in Itahari-10, 450 sqft, 12 years old. Ideal for families."
H00377,Itahari-19,Bungalow,1244,4,3,5,3.0,6.48,0,0,Unfurnished,2014-06-25,2014,11316310,9096,Sukrabare,"Well-connected property in Itahari-19, 1244 sqft, 5 years old. Ideal for families."
H00378,Itahari-12,Bungalow,1281,3,2,4,9.1,5.87,0,1,Semi-Furnished,2013-03-08,2013,19958452,15580,G.P. Chowk,"Well-connected property in Itahari-12, 1281 sqft, 4 years old. Ideal for families."
H00379,Itahari-10,RCC,1466,5,3,16,8.7,4.33,1,0,Unfurnished,2023-06-15,2023,29998932,20463,Bhairahawa Road,"Well-connected property in Itahari-10, 1466 sqft, 16 years old. Ideal for families."
H00380,Itahari-8,Flat,1079,4,3,13,4.1,5.47,0,1,Unfurnished,2025-05-01,2025,23176161,21479,Sukrabare,"Well-connected property in Itahari-8, 1079 sqft, 13 years old. Ideal for families."
H00381,Itahari-5,Bungalow,1432,4,3,19,5.5,0.13,0,1,Unfurnished,2012-09-19,2012,10312446,7201,G.P. Chowk,"Spacious Bungalow with 4 bedrooms and 3 bathrooms, nearby G.P. Chowk."
H00382,Itahari-5,RCC,859,2,2,16,6.7,6.15,0,1,Unfurnished,2020-06-03,2020,7054918,8212,Sukrabare,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00383,Itahari-11,Flat,2363,7,5,3,4.8,4.11,1,1,Unfurnished,2010-08-22,2010,11529803,4879,Sukrabare,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00384,Itahari-10,Flat,2687,6,5,19,3.0,5.55,0,0,Unfurnished,2025-03-14,2025,45895768,17080,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00385,Itahari-8,Villa,1502,5,4,15,3.3,6.11,0,1,Unfurnished,2012-01-19,2012,22045967,14677,Sukrabare,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00386,Itahari-1,Flat,888,1,1,12,9.3,3.24,0,1,Furnished,2023-04-22,2023,16361579,18425,G.P. Chowk,"Well-connected property in Itahari-1, 888 sqft, 12 years old. Ideal for families."
H00387,Itahari-11,RCC,1429,4,3,10,9.0,1.6,0,1,Semi-Furnished,2018-11-07,2018,13918797,9740,Shohini Chowk,"Spacious RCC with 4 bedrooms and 3 bathrooms, nearby Shohini Chowk."
H00388,Itahari-1,Duplex,1739,3,2,25,15.6,5.54,0,0,Unfurnished,2013-11-16,2013,10689658,6147,Itahari Buspark,"Spacious Duplex with 3 bedrooms and 2 bathrooms, nearby Itahari Buspark."
H00389,Itahari-17,Duplex,525,1,1,6,8.9,1.5,1,1,Semi-Furnished,2017-10-21,2017,8725902,16620,Sukrabare,Duplex located near main road with easy access to amenities and schools.
H00390,Itahari-4,Villa,1256,2,1,20,8.7,3.54,0,1,Furnished,2016-03-29,2016,18261216,14539,Itahari Buspark,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00391,Itahari-12,Bungalow,277,2,2,1,10.6,3.53,0,1,Furnished,2020-10-26,2020,9398252,33928,Shohini Chowk,"Spacious Bungalow with 2 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00392,Itahari-5,Duplex,1539,5,3,19,4.9,0.27,0,1,Semi-Furnished,2019-11-30,2019,17660678,11475,Itahari Buspark,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00393,Itahari-1,RCC,355,1,1,11,3.8,4.98,0,1,Furnished,2014-06-14,2014,2743584,7728,Itahari Buspark,RCC located near main road with easy access to amenities and schools.
H00394,Itahari-9,Flat,1561,5,4,15,8.0,4.08,0,1,Unfurnished,2013-09-03,2013,15724711,10073,Itahari Buspark,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00395,Itahari-20,RCC,2326,7,7,12,7.2,3.24,1,1,Semi-Furnished,2014-03-24,2014,25585629,10999,Sukrabare,"Well-connected property in Itahari-20, 2326 sqft, 12 years old. Ideal for families."
H00396,Itahari-8,Flat,1858,5,4,0,14.1,2.09,1,0,Semi-Furnished,2014-07-25,2014,32105028,17279,Itahari Buspark,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00397,Itahari-12,Villa,1388,3,2,17,3.4,5.88,1,1,Furnished,2023-02-19,2023,45130996,32515,Itahari Buspark,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00398,Itahari-8,Flat,1548,4,2,4,5.2,3.34,0,1,Unfurnished,2017-06-23,2017,26145595,16889,Bhairahawa Road,"Spacious Flat with 4 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
H00399,Itahari-10,RCC,1047,2,1,0,5.9,3.36,0,1,Unfurnished,2016-03-22,2016,15516561,14820,Bhairahawa Road,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00400,Itahari-13,Villa,1198,2,2,13,4.0,6.37,0,1,Semi-Furnished,2017-01-18,2017,23664581,19753,Bhairahawa Road,Villa located near main road with easy access to amenities and schools.
H00401,Itahari-2,Duplex,1779,3,3,14,4.9,2.18,1,1,Unfurnished,2021-01-20,2021,41172791,23143,Shohini Chowk,Duplex located near main road with easy access to amenities and schools.
H00402,Itahari-7,RCC,1592,3,2,12,8.4,5.02,0,1,Unfurnished,2017-12-26,2017,10807803,6788,G.P. Chowk,"Spacious RCC with 3 bedrooms and 2 bathrooms, nearby G.P. Chowk."
H00403,Itahari-14,Flat,1777,3,2,9,12.8,1.67,0,1,Unfurnished,2024-05-04,2024,22089682,12430,Bhairahawa Road,"Spacious Flat with 3 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
H00404,Itahari-14,Bungalow,1526,4,4,12,9.6,0.71,0,1,Furnished,2013-01-07,2013,16287013,10673,Itahari Buspark,Bungalow located near main road with easy access to amenities and schools.
H00405,Itahari-13,Bungalow,1734,4,4,7,5.5,2.83,0,1,Unfurnished,2024-06-11,2024,49982993,28825,Itahari Buspark,"Spacious Bungalow with 4 bedrooms and 4 bathrooms, nearby Itahari Buspark."
H00406,Itahari-20,Bungalow,323,2,2,28,8.1,3.99,0,0,Semi-Furnished,2012-03-15,2012,2116132,6551,Shohini Chowk,Bungalow located near main road with easy access to amenities and schools.
H00407,Itahari-8,RCC,1265,3,2,4,14.8,3.13,0,1,Unfurnished,2024-10-25,2024,36974851,29229,G.P. Chowk,"Spacious RCC with 3 bedrooms and 2 bathrooms, nearby G.P. Chowk."
H00408,Itahari-9,Duplex,922,2,1,13,5.8,5.15,0,1,Unfurnished,2011-08-27,2011,8912276,9666,G.P. Chowk,"Well-connected property in Itahari-9, 922 sqft, 13 years old. Ideal for families."
H00409,Itahari-7,Bungalow,251,1,1,0,15.2,6.84,0,1,Unfurnished,2022-07-03,2022,2840708,11317,Bhairahawa Road,"Well-connected property in Itahari-7, 251 sqft, 0 years old. Ideal for families."
H00410,Itahari-20,Bungalow,1182,3,3,5,8.0,6.07,0,1,Unfurnished,2011-02-26,2011,8546593,7230,Sukrabare,Bungalow located near main road with easy access to amenities and schools.
H00411,Itahari-11,Flat,291,1,1,17,5.3,1.34,1,1,Semi-Furnished,2019-06-05,2019,2101149,7220,G.P. Chowk,"Well-connected property in Itahari-11, 291 sqft, 17 years old. Ideal for families."
H00412,Itahari-17,Flat,988,1,1,23,4.2,4.37,0,1,Unfurnished,2011-07-11,2011,5056821,5118,G.P. Chowk,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00413,Itahari-10,Villa,907,2,2,10,10.2,1.83,1,1,Semi-Furnished,2018-10-02,2018,22205050,24481,Shohini Chowk,"Spacious Villa with 2 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00414,Itahari-1,Villa,1301,4,2,11,14.5,2.6,0,1,Unfurnished,2018-11-22,2018,25863875,19879,Shohini Chowk,"Well-connected property in Itahari-1, 1301 sqft, 11 years old. Ideal for families."
H00415,Itahari-1,Villa,2348,7,4,8,7.2,0.01,0,0,Unfurnished,2013-07-28,2013,29938778,12750,G.P. Chowk,Villa located near main road with easy access to amenities and schools.
H00416,Itahari-9,Flat,937,2,1,8,3.8,5.04,0,1,Semi-Furnished,2019-09-12,2019,13785938,14712,G.P. Chowk,"Spacious Flat with 2 bedrooms and 1 bathrooms, nearby G.P. Chowk."
H00417,Itahari-18,Flat,1268,2,1,3,5.7,0.43,1,1,Furnished,2011-06-29,2011,15291707,12059,Bhairahawa Road,"Spacious Flat with 2 bedrooms and 1 bathrooms, nearby Bhairahawa Road."
H00418,Itahari-13,Flat,316,2,2,9,2.7,3.58,0,1,Unfurnished,2015-12-11,2015,4452816,14091,Itahari Buspark,"Well-connected property in Itahari-13, 316 sqft, 9 years old. Ideal for families."
H00419,Itahari-8,Flat,2043,5,4,6,3.5,4.64,0,0,Unfurnished,2012-06-08,2012,23709685,11605,Bhairahawa Road,"Well-connected property in Itahari-8, 2043 sqft, 6 years old. Ideal for families."
H00420,Itahari-2,Duplex,1085,3,3,16,3.3,3.2,0,1,Furnished,2024-11-27,2024,26517482,24440,Sukrabare,Duplex located near main road with easy access to amenities and schools.
H00421,Itahari-11,Duplex,602,1,1,5,6.1,3.8,0,1,Semi-Furnished,2018-09-11,2018,5150500,8555,Itahari Buspark,Duplex located near main road with easy access to amenities and schools.
H00422,Itahari-10,Flat,885,2,1,0,12.0,4.68,0,1,Unfurnished,2016-11-08,2016,11211628,12668,G.P. Chowk,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00423,Itahari-5,RCC,1019,4,3,3,16.1,3.04,0,1,Semi-Furnished,2013-07-17,2013,9479772,9303,G.P. Chowk,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00424,Itahari-10,Villa,359,1,1,34,10.1,2.81,0,0,Unfurnished,2025-10-22,2025,9579647,26684,Shohini Chowk,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00425,Itahari-5,Bungalow,1525,4,3,16,6.4,3.06,0,1,Furnished,2014-11-11,2014,11881442,7791,Bhairahawa Road,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00426,Itahari-11,Bungalow,2423,5,5,3,14.7,2.94,0,0,Furnished,2018-08-15,2018,24677475,10184,G.P. Chowk,"Well-connected property in Itahari-11, 2423 sqft, 3 years old. Ideal for families."
H00427,Itahari-13,Villa,1634,5,5,18,2.7,4.27,0,1,Unfurnished,2017-07-31,2017,22440867,13733,Sukrabare,"Spacious Villa with 5 bedrooms and 5 bathrooms, nearby Sukrabare."
H00428,Itahari-12,Villa,742,1,1,26,1.8,4.99,1,1,Unfurnished,2025-05-31,2025,22564986,30411,Shohini Chowk,"Well-connected property in Itahari-12, 742 sqft, 26 years old. Ideal for families."
H00429,Itahari-15,Flat,1659,4,3,1,9.8,5.06,0,1,Unfurnished,2013-08-29,2013,13654021,8230,Itahari Buspark,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00430,Itahari-14,Flat,2032,4,2,11,9.9,3.22,1,1,Semi-Furnished,2010-01-10,2010,12254611,6030,Sukrabare,"Spacious Flat with 4 bedrooms and 2 bathrooms, nearby Sukrabare."
H00431,Itahari-11,Villa,989,1,1,21,4.4,5.1,0,0,Semi-Furnished,2016-05-15,2016,6798723,6874,Bhairahawa Road,"Spacious Villa with 1 bedrooms and 1 bathrooms, nearby Bhairahawa Road."
H00432,Itahari-18,Duplex,1677,3,2,22,5.5,2.79,0,1,Unfurnished,2018-05-07,2018,22506564,13420,G.P. Chowk,"Well-connected property in Itahari-18, 1677 sqft, 22 years old. Ideal for families."
H00433,Itahari-12,Bungalow,1151,2,1,17,12.7,2.02,0,1,Unfurnished,2015-02-07,2015,22829224,19834,Sukrabare,Bungalow located near main road with easy access to amenities and schools.
H00434,Itahari-9,Flat,1526,4,3,9,2.5,1.13,0,1,Unfurnished,2013-05-29,2013,15590888,10216,Sukrabare,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00435,Itahari-2,Bungalow,1425,5,5,18,6.3,3.53,0,1,Unfurnished,2020-09-25,2020,22572206,15840,G.P. Chowk,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00436,Itahari-19,Bungalow,2112,6,4,24,12.0,3.9,1,1,Unfurnished,2014-11-25,2014,23869323,11301,Itahari Buspark,"Well-connected property in Itahari-19, 2112 sqft, 24 years old. Ideal for families."
H00437,Itahari-8,Flat,1045,4,3,4,12.2,2.85,0,1,Furnished,2022-01-12,2022,24613691,23553,Bhairahawa Road,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00438,Itahari-15,Bungalow,1796,5,3,26,10.5,3.69,0,1,Unfurnished,2018-05-15,2018,14797008,8238,G.P. Chowk,Bungalow located near main road with easy access to amenities and schools.
H00439,Itahari-18,Flat,836,2,1,15,12.4,4.98,0,1,Unfurnished,2020-08-09,2020,11848453,14172,Shohini Chowk,"Spacious Flat with 2 bedrooms and 1 bathrooms, nearby Shohini Chowk."
H00440,Itahari-1,Flat,672,1,1,17,4.4,2.38,0,1,Unfurnished,2022-06-30,2022,9409480,14002,Bhairahawa Road,"Spacious Flat with 1 bedrooms and 1 bathrooms, nearby Bhairahawa Road."
H00441,Itahari-19,RCC,391,1,1,9,5.7,2.16,0,1,Furnished,2016-08-20,2016,3727364,9532,Shohini Chowk,"Spacious RCC with 1 bedrooms and 1 bathrooms, nearby Shohini Chowk."
H00442,Itahari-4,Flat,1816,5,3,17,4.1,6.17,0,1,Unfurnished,2017-04-02,2017,38778937,10908,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00443,Itahari-4,Bungalow,1311,3,2,16,15.0,0.25,0,1,Unfurnished,2023-04-01,2023,31639524,24133,Shohini Chowk,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00444,Itahari-6,Bungalow,2108,4,2,28,6.0,2.97,1,1,Unfurnished,2019-05-07,2019,18725942,8883,G.P. Chowk,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00445,Itahari-17,Duplex,1303,2,2,11,14.0,4.6,0,1,Furnished,2011-03-18,2011,13256775,10174,Shohini Chowk,"Well-connected property in Itahari-17, 1303 sqft, 11 years old. Ideal for families."
H00446,Itahari-7,Villa,1637,3,2,8,2.3,6.75,0,1,Furnished,2017-01-24,2017,12310456,7520,Itahari Buspark,"Well-connected property in Itahari-7, 1637 sqft, 8 years old. Ideal for families."
H00447,Itahari-6,Bungalow,1131,3,3,2,15.1,3.39,0,0,Unfurnished,2022-07-30,2022,19215381,16989,Shohini Chowk,"Spacious Bungalow with 3 bedrooms and 3 bathrooms, nearby Shohini Chowk."
H00448,Itahari-1,RCC,1023,4,4,12,3.7,3.72,1,1,Furnished,2021-05-14,2021,15484420,15136,Itahari Buspark,"Spacious RCC with 4 bedrooms and 4 bathrooms, nearby Itahari Buspark."
H00449,Itahari-1,Bungalow,251,1,1,10,2.2,2.48,1,0,Furnished,2025-07-15,2025,5201718,20723,G.P. Chowk,"Spacious Bungalow with 1 bedrooms and 1 bathrooms, nearby G.P. Chowk."
H00450,Itahari-14,Flat,946,2,2,18,7.5,4.03,0,1,Unfurnished,2025-01-23,2025,12766159,13494,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00451,Itahari-10,RCC,1202,4,4,10,12.0,1.18,1,1,Unfurnished,2020-06-07,2020,19085740,15878,Sukrabare,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00452,Itahari-19,Flat,1534,3,2,7,15.1,3.02,0,1,Unfurnished,2013-12-15,2013,15725586,10251,Shohini Chowk,"Spacious Flat with 3 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00453,Itahari-9,Flat,2062,6,4,23,14.5,1.71,0,1,Unfurnished,2021-03-26,2021,32580057,15800,G.P. Chowk,"Spacious Flat with 6 bedrooms and 4 bathrooms, nearby G.P. Chowk."
H00454,Itahari-2,RCC,1010,4,2,9,8.9,3.57,1,1,Unfurnished,2017-04-20,2017,18969372,18781,G.P. Chowk,"Well-connected property in Itahari-2, 1010 sqft, 9 years old. Ideal for families."
H00455,Itahari-11,Bungalow,1511,5,4,8,9.3,3.78,0,1,Unfurnished,2011-10-19,2011,8030996,5315,Shohini Chowk,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00456,Itahari-1,Villa,3156,9,5,4,3.1,2.56,0,1,Unfurnished,2012-12-10,2012,48287132,15300,Bhairahawa Road,Villa located near main road with easy access to amenities and schools.
H00457,Itahari-10,RCC,657,3,3,19,7.6,2.95,1,1,Furnished,2011-08-24,2011,6389882,9725,G.P. Chowk,"Well-connected property in Itahari-10, 657 sqft, 19 years old. Ideal for families."
H00458,Itahari-4,Flat,1744,3,2,15,5.6,4.14,0,1,Unfurnished,2022-11-09,2022,24912201,14284,Bhairahawa Road,Flat located near main road with easy access to amenities and schools.
H00459,Itahari-1,Duplex,1608,5,4,20,3.6,2.74,0,1,Unfurnished,2017-10-15,2017,14386986,8947,Itahari Buspark,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00460,Itahari-14,RCC,1268,4,3,12,5.9,1.3,0,1,Semi-Furnished,2025-08-10,2025,19490487,15371,Bhairahawa Road,"Well-connected property in Itahari-14, 1268 sqft, 12 years old. Ideal for families."
H00461,Itahari-7,Flat,1503,3,2,8,12.1,1.37,1,1,Unfurnished,2013-03-30,2013,10061129,6694,Bhairahawa Road,"Well-connected property in Itahari-7, 1503 sqft, 8 years old. Ideal for families."
H00462,Itahari-12,RCC,999,2,1,20,15.8,4.38,0,1,Unfurnished,2022-05-01,2022,25042116,25067,Shohini Chowk,RCC located near main road with easy access to amenities and schools.
H00463,Itahari-15,Bungalow,1079,2,2,12,6.2,4.26,0,1,Semi-Furnished,2019-10-02,2019,9923324,9196,Bhairahawa Road,"Well-connected property in Itahari-15, 1079 sqft, 12 years old. Ideal for families."
H00464,Itahari-20,RCC,1326,2,2,16,6.3,3.07,0,1,Semi-Furnished,2025-04-23,2025,19751637,14895,Itahari Buspark,RCC located near main road with easy access to amenities and schools.
H00465,Itahari-12,Flat,1084,3,2,18,5.1,4.5,0,1,Unfurnished,2017-03-12,2017,17360231,16014,Sukrabare,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00466,Itahari-1,RCC,1457,3,2,3,10.3,2.47,0,1,Furnished,2017-01-08,2017,21121978,14496,G.P. Chowk,"Spacious RCC with 3 bedrooms and 2 bathrooms, nearby G.P. Chowk."
H00467,Itahari-19,Villa,615,2,1,7,8.5,4.54,0,1,Unfurnished,2012-08-10,2012,7718325,12550,Itahari Buspark,Villa located near main road with easy access to amenities and schools.
H00468,Itahari-14,Flat,539,1,1,7,3.3,1.48,0,1,Unfurnished,2018-12-30,2018,5754887,10676,Itahari Buspark,"Well-connected property in Itahari-14, 539 sqft, 7 years old. Ideal for families."
H00469,Itahari-18,Bungalow,1083,3,2,12,5.1,1.39,1,1,Unfurnished,2011-11-26,2011,10612566,9799,Itahari Buspark,Bungalow located near main road with easy access to amenities and schools.
H00470,Itahari-4,Flat,2032,5,3,17,8.7,4.08,1,0,Unfurnished,2015-11-13,2015,23585747,11607,Shohini Chowk,"Spacious Flat with 5 bedrooms and 3 bathrooms, nearby Shohini Chowk."
H00471,Itahari-17,Flat,1346,2,1,12,14.8,5.21,1,1,Furnished,2022-05-20,2022,19846484,14744,G.P. Chowk,Flat located near main road with easy access to amenities and schools.
H00472,Itahari-1,Duplex,1430,5,4,17,10.0,6.93,0,0,Semi-Furnished,2015-01-06,2015,12490886,8734,Bhairahawa Road,Duplex located near main road with easy access to amenities and schools.
H00473,Itahari-15,Bungalow,2121,4,4,10,3.9,4.62,1,1,Unfurnished,2014-02-10,2014,17801006,8392,Shohini Chowk,"Spacious Bungalow with 4 bedrooms and 4 bathrooms, nearby Shohini Chowk."
H00474,Itahari-14,Flat,1763,5,3,1,9.1,3.42,0,1,Unfurnished,2024-01-29,2024,27620456,15666,Sukrabare,"Spacious Flat with 5 bedrooms and 3 bathrooms, nearby Sukrabare."
H00475,Itahari-19,Flat,714,1,1,12,4.1,2.06,1,1,Semi-Furnished,2010-01-24,2010,5292482,7412,G.P. Chowk,Flat located near main road with easy access to amenities and schools.
H00476,Itahari-19,Flat,696,1,1,14,14.5,4.41,0,0,Unfurnished,2013-12-11,2013,7190056,10330,Itahari Buspark,"Spacious Flat with 1 bedrooms and 1 bathrooms, nearby Itahari Buspark."
H00477,Itahari-18,Villa,1677,3,2,2,12.0,4.23,1,1,Semi-Furnished,2021-06-14,2021,48667946,29020,Itahari Buspark,"Spacious Villa with 3 bedrooms and 2 bathrooms, nearby Itahari Buspark."
H00478,Itahari-16,Duplex,1851,4,3,5,5.4,3.29,0,1,Semi-Furnished,2011-03-07,2011,13911015,7515,Sukrabare,"Well-connected property in Itahari-16, 1851 sqft, 5 years old. Ideal for families."
H00479,Itahari-13,Bungalow,2197,4,4,29,15.6,5.23,0,1,Unfurnished,2019-05-29,2019,33516499,15255,Shohini Chowk,"Spacious Bungalow with 4 bedrooms and 4 bathrooms, nearby Shohini Chowk."
H00480,Itahari-10,Flat,1835,6,5,15,14.9,1.66,0,1,Unfurnished,2019-05-18,2019,33224515,18106,G.P. Chowk,"Spacious Flat with 6 bedrooms and 5 bathrooms, nearby G.P. Chowk."
H00481,Itahari-2,Flat,1182,3,3,25,4.9,0.9,0,1,Unfurnished,2023-09-05,2023,23832459,20162,Itahari Buspark,Flat located near main road with easy access to amenities and schools.
H00482,Itahari-5,Duplex,1337,2,1,21,4.6,3.3,0,1,Semi-Furnished,2021-01-04,2021,12726229,9518,Bhairahawa Road,"Spacious Duplex with 2 bedrooms and 1 bathrooms, nearby Bhairahawa Road."
H00483,Itahari-10,RCC,996,3,2,19,3.0,6.45,0,1,Unfurnished,2022-11-01,2022,14125668,14182,Itahari Buspark,"Well-connected property in Itahari-10, 996 sqft, 19 years old. Ideal for families."
H00484,Itahari-12,Bungalow,642,3,2,1,10.4,5.11,0,1,Furnished,2016-08-12,2016,13284965,20693,Bhairahawa Road,"Well-connected property in Itahari-12, 642 sqft, 1 years old. Ideal for families."
H00485,Itahari-6,RCC,1417,5,4,4,7.6,6.4,1,1,Unfurnished,2023-04-17,2023,15938945,11248,Sukrabare,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00486,Itahari-7,RCC,380,2,1,11,2.6,1.75,1,0,Furnished,2013-12-03,2013,2703760,7115,Sukrabare,RCC located near main road with easy access to amenities and schools.
H00487,Itahari-15,Bungalow,946,3,2,14,5.9,1.6,1,0,Unfurnished,2010-03-22,2010,6350776,6713,Sukrabare,"Spacious Bungalow with 3 bedrooms and 2 bathrooms, nearby Sukrabare."
H00488,Itahari-15,Bungalow,1559,5,3,8,10.0,2.44,0,1,Furnished,2020-05-18,2020,18111777,11617,G.P. Chowk,"Well-connected property in Itahari-15, 1559 sqft, 8 years old. Ideal for families."
H00489,Itahari-9,Bungalow,1776,4,4,20,5.1,2.22,0,1,Unfurnished,2016-11-02,2016,22463003,12648,Bhairahawa Road,"Spacious Bungalow with 4 bedrooms and 4 bathrooms, nearby Bhairahawa Road."
H00490,Itahari-20,Duplex,1786,3,2,13,4.5,0.03,0,1,Semi-Furnished,2021-10-02,2021,26063091,14592,Bhairahawa Road,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00491,Itahari-10,Flat,1101,2,2,18,12.3,4.01,0,1,Furnished,2020-11-14,2020,16272758,14779,Itahari Buspark,"Well-connected property in Itahari-10, 1101 sqft, 18 years old. Ideal for families."
H00492,Itahari-20,RCC,782,1,1,1,9.0,5.46,1,1,Semi-Furnished,2012-07-11,2012,6194576,7921,Itahari Buspark,"Spacious RCC with 1 bedrooms and 1 bathrooms, nearby Itahari Buspark."
H00493,Itahari-4,Bungalow,2061,5,4,17,8.5,3.29,0,1,Semi-Furnished,2013-10-16,2013,20543987,9967,Shohini Chowk,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00494,Itahari-8,Villa,1491,5,4,7,12.1,3.03,0,1,Furnished,2025-06-12,2025,61519455,41260,Itahari Buspark,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00495,Itahari-18,Villa,1565,3,2,8,5.9,3.01,0,0,Semi-Furnished,2015-01-29,2015,26571667,16978,Itahari Buspark,Villa located near main road with easy access to amenities and schools.
H00496,Itahari-6,Bungalow,571,2,2,21,6.0,2.81,0,1,Unfurnished,2013-10-09,2013,3676297,6438,G.P. Chowk,"Spacious Bungalow with 2 bedrooms and 2 bathrooms, nearby G.P. Chowk."
H00497,Itahari-9,Bungalow,2234,7,5,26,11.6,2.65,0,0,Semi-Furnished,2019-12-11,2019,31706195,14192,G.P. Chowk,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00498,Itahari-4,Bungalow,620,1,1,7,15.5,3.64,0,0,Unfurnished,2012-03-30,2012,7707972,12432,Bhairahawa Road,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00499,Itahari-7,Duplex,596,1,1,9,3.0,3.49,1,1,Unfurnished,2021-04-07,2021,6331655,10623,Sukrabare,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00500,Itahari-16,Flat,873,1,1,14,11.6,2.88,0,1,Unfurnished,2024-12-26,2024,13317533,15254,Shohini Chowk,"Well-connected property in Itahari-16, 873 sqft, 14 years old. Ideal for families."
